time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-28 00:00:00+00:00,0,0,0,0
2026-07-29 00:00:00+00:00,0,0,5,3
2026-07-30 00:00:00+00:00,1,1,1,1
2026-07-31 00:00:00+00:00,0,0,0,0
2026-08-01 00:00:00+00:00,0,0,10,2
2026-08-02 00:00:00+00:00,0,0,0,0
2026-08-03 00:00:00+00:00,0,0,14,3
2026-08-04 00:00:00+00:00,0,0,34,6
2026-08-05 00:00:00+00:00,6,5,53,3
2026-08-06 00:00:00+00:00,29,13,44,4
2026-08-07 00:00:00+00:00,8,6,32,5
2026-08-08 00:00:00+00:00,19,9,5,2
2026-08-09 00:00:00+00:00,14,5,15,7
2026-08-10 00:00:00+00:00,18,9,5,3
